id,experiences_offered,host_name,host_since,host_location,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,host_response_rate_binned,host_verification_binned,perceived_quality
13029202,none,Ann,2016-05-14,inlondon,within an hour,f,t,f,Croydon,SE25,t,House,Private room,6,2.0,1.0,5.0,Real Bed,60.0,66.0,20.0,1,0.0,3,60,3 weeks ago,3,3,25,25,4,2016-06-27,2017-01-02,9.0,7.0,9.0,10.0,7.0,7.0,t,flexible,f,f,1,0.48,Very Good,Equals4,Bad
12182631,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,60.0,250.0,40.0,2,5.0,4,1125,today,3,8,11,182,12,2016-09-02,2017-02-26,10.0,10.0,9.0,10.0,8.0,9.0,f,strict,f,f,11,1.96,Very Good,MoreThan4,Good
8164389,none,Camila,2015-08-26,inlondon,within a few hours,f,t,t,Croydon,SE25,t,House,Private room,1,1.0,1.0,1.0,Real Bed,25.0,100.0,10.0,1,0.0,2,1125,a week ago,20,50,80,251,10,2015-09-23,2017-02-10,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,f,1,0.57,Very Good,Equals4,Bad
9085336,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,65.0,250.0,45.0,2,5.0,5,1125,today,0,6,14,199,19,2016-01-05,2016-12-26,9.0,10.0,10.0,10.0,9.0,9.0,f,strict,f,f,11,1.34,Very Good,MoreThan4,Good
15266193,none,Keira,2015-07-19,inlondon,within a day,f,t,f,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,75.0,200.0,25.0,2,10.0,2,14,2 weeks ago,10,34,64,65,3,2016-10-28,2017-03-03,9.0,9.0,9.0,9.0,8.0,9.0,f,strict,f,f,1,0.7,Bad,LowerThan4,Bad
13619311,none,Kerry,2015-08-07,inlondon,within an hour,t,t,t,Croydon,SE19,t,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,42.0,100.0,20.0,1,0.0,2,1125,2 weeks ago,0,0,0,0,24,2016-09-10,2017-02-28,10.0,10.0,10.0,10.0,9.0,10.0,t,strict,f,f,2,4.07,Very Good,MoreThan4,Good
14394072,none,Rosemarie,2016-08-07,inlondon,within an hour,t,t,f,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,75.0,100.0,30.0,4,50.0,1,1125,a week ago,13,17,34,60,27,2016-08-29,2017-02-27,10.0,9.0,10.0,10.0,9.0,9.0,f,strict,f,f,1,4.29,Very Good,LowerThan4,Good
13278373,none,Albert,2016-05-30,inlondon,within an hour,t,t,t,Croydon,CR0,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,20.0,79.0,10.0,2,10.0,2,9,yesterday,27,42,43,43,21,2016-06-11,2017-01-16,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,f,f,1,2.35,Very Good,MoreThan4,Good
454009,none,Jonathan,2012-03-17,inlondon,within an hour,f,t,t,Croydon,SE25,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,21.0,75.0,5.0,1,10.0,2,90,7 weeks ago,0,0,0,61,82,2012-07-27,2017-02-05,9.0,9.0,10.0,10.0,9.0,9.0,t,flexible,t,t,1,1.46,Very Good,Equals4,Bad
14635528,none,Sameen,2012-03-18,inlondon,within an hour,f,t,f,Croydon,CR2,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,65.0,100.0,25.0,2,10.0,1,30,2 weeks ago,29,59,89,89,7,2016-09-12,2017-02-05,9.0,10.0,10.0,10.0,9.0,9.0,t,strict,f,f,3,1.2,Very Good,LowerThan4,Good
13105997,none,Nauman,2016-05-19,notinlondon,within an hour,f,t,f,Croydon,CR0,f,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,120.0,200.0,50.0,4,10.0,3,90,a week ago,17,36,65,137,6,2016-07-06,2017-02-14,9.0,8.0,7.0,8.0,9.0,10.0,f,strict,f,f,1,0.74,Very Good,LowerThan4,Bad
3797119,social,Samantha,2014-08-05,inlondon,within an hour,f,t,t,Croydon,CR0,t,House,Private room,1,1.0,1.0,1.0,Real Bed,25.0,100.0,5.0,1,0.0,30,180,7 weeks ago,9,39,69,69,18,2014-09-13,2017-01-23,9.0,10.0,10.0,10.0,9.0,9.0,f,moderate,f,f,3,0.6,Very Good,Equals4,Bad
10740459,none,Marcel,2016-01-21,inlondon,within an hour,f,t,f,Croydon,CR7,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,40.0,150.0,20.0,1,20.0,10,1125,today,18,48,78,353,9,2016-03-28,2016-11-14,10.0,10.0,10.0,10.0,8.0,10.0,f,strict,f,f,1,0.79,Very Good,LowerThan4,Bad
13673025,none,Kirsty,2014-06-07,notinlondon,within a few hours,t,t,f,Croydon,CR2,t,House,Private room,1,1.0,1.0,1.0,Real Bed,30.0,70.0,5.0,1,10.0,1,1125,a week ago,11,16,32,100,30,2016-07-28,2017-02-20,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,4.07,Very Good,LowerThan4,Good
15979797,none,Adrian,2016-11-15,inlondon,within an hour,f,t,f,Croydon,CR0,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,78.0,250.0,14.0,1,0.0,2,1125,today,4,8,10,100,3,2017-01-01,2017-03-02,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,1.41,Very Good,LowerThan4,Good
10732756,none,Havovi,2014-07-13,notinlondon,within a day,f,t,t,Croydon,CR8,t,House,Private room,6,3.5,4.0,5.0,Real Bed,250.0,800.0,50.0,4,15.0,2,1125,5 weeks ago,30,60,90,354,9,2016-05-01,2017-02-01,9.0,9.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,0.87,Very Good,MoreThan4,Bad
15310604,none,Revivit,2016-03-03,notinlondon,within an hour,f,t,t,Croydon,SE25,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,36.0,150.0,30.0,1,0.0,5,1125,yesterday,18,48,78,108,6,2016-10-26,2017-02-28,10.0,8.0,9.0,9.0,8.0,8.0,t,moderate,f,f,7,1.37,Very Good,MoreThan4,Bad
5079697,none,Sue,2011-05-31,notinlondon,within an hour,f,t,f,Croydon,CR7,t,House,Private room,2,1.5,1.0,1.0,Real Bed,18.0,100.0,10.0,1,10.0,1,21,2 days ago,2,13,30,82,25,2016-02-26,2017-02-23,9.0,9.0,9.0,9.0,7.0,9.0,t,strict,f,f,5,2.01,Very Good,Equals4,Bad
10846287,none,Emma And Phil,2015-06-08,inlondon,within a few hours,t,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,105.0,75.0,25.0,1,0.0,1,1125,3 weeks ago,28,58,83,351,9,2016-05-31,2016-12-27,10.0,10.0,10.0,10.0,9.0,10.0,f,strict,f,f,1,0.97,Very Good,MoreThan4,Good
2419545,none,Sue,2011-05-31,notinlondon,within an hour,f,t,f,Croydon,CR7,t,House,Private room,2,1.5,1.0,1.0,Pull-out Sofa,25.0,100.0,10.0,1,10.0,1,21,2 days ago,11,23,33,259,54,2015-09-26,2017-02-14,9.0,9.0,9.0,10.0,8.0,9.0,f,strict,f,f,5,3.07,Very Good,Equals4,Bad
11091919,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Private room,3,1.0,0.0,2.0,Real Bed,32.0,200.0,35.0,2,5.0,4,1125,yesterday,3,3,20,214,16,2016-09-02,2017-02-20,10.0,10.0,10.0,10.0,8.0,9.0,f,strict,f,f,11,2.59,Very Good,MoreThan4,Good
6255603,none,Joyce,2015-04-23,notinlondon,within a few hours,f,t,t,Croydon,CR0,f,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,45.0,200.0,20.0,1,10.0,1,1125,5 weeks ago,6,6,8,98,11,2015-07-24,2016-10-23,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,2,0.56,Very Good,MoreThan4,Good
13984657,none,Chris,2014-08-27,inlondon,within an hour,f,t,t,Croydon,CR0,t,Apartment,Private room,4,1.0,2.0,3.0,Real Bed,40.0,75.0,5.0,2,10.0,1,30,5 weeks ago,16,41,71,101,13,2016-07-27,2016-12-14,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,2,1.76,Very Good,Equals4,Good
16077598,none,Xavier,2015-11-04,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,119.0,299.0,29.0,2,9.0,3,1125,today,11,11,32,295,3,2017-01-04,2017-02-04,10.0,10.0,10.0,10.0,10.0,10.0,t,moderate,f,f,1,1.48,Very Good,Equals4,Good
13742400,none,Natella,2016-06-28,inlondon,within a few hours,f,t,t,Croydon,CR2,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,25.0,100.0,7.0,1,5.0,1,1125,2 weeks ago,29,59,89,364,3,2016-07-09,2016-10-22,10.0,10.0,9.0,10.0,9.0,10.0,t,flexible,f,f,1,0.38,Very Good,MoreThan4,Good
10128245,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,50.0,250.0,35.0,2,5.0,4,1125,5 days ago,20,33,38,276,15,2016-07-15,2017-02-10,10.0,10.0,10.0,10.0,9.0,9.0,f,strict,f,f,11,1.92,Very Good,MoreThan4,Good
8996969,none,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Other,Private room,2,1.0,0.0,1.0,Real Bed,26.0,150.0,30.0,1,0.0,6,1125,4 days ago,5,31,40,58,11,2016-01-06,2017-02-18,9.0,10.0,9.0,10.0,8.0,9.0,f,strict,f,f,11,0.78,Very Good,MoreThan4,Bad
10698388,none,Sarah,2015-04-19,inlondon,within an hour,f,t,t,Croydon,SE19,t,House,Private room,2,1.5,1.0,1.0,Real Bed,45.0,200.0,10.0,1,0.0,1,1125,4 weeks ago,12,42,72,345,6,2016-08-29,2017-01-26,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,0.95,Very Good,Equals4,Good
4011657,none,Oliver,2014-06-19,notinlondon,within a day,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,100.0,100.0,30.0,1,15.0,2,1125,2 months ago,0,0,6,170,10,2014-09-14,2016-07-02,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,0.33,Very Good,Equals4,Good
5975492,social,Gary,2015-04-05,inlondon,within a few hours,f,t,t,Croydon,CR0,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,45.0,200.0,35.0,2,5.0,4,1125,today,3,3,10,44,45,2015-06-27,2017-02-16,10.0,10.0,10.0,10.0,8.0,10.0,f,strict,f,f,11,2.18,Very Good,MoreThan4,Good
12921052,none,Ruth,2016-04-06,inlondon,within a day,f,t,t,Croydon,SE25,t,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,85.0,150.0,20.0,4,10.0,3,11,7 weeks ago,22,41,61,207,9,2016-05-27,2017-01-08,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,f,f,1,0.95,Good,MoreThan4,Good
14620552,none,Revivit,2016-03-03,notinlondon,within an hour,f,t,t,Croydon,SE25,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,36.0,150.0,40.0,1,0.0,5,1125,yesterday,16,34,64,155,5,2016-09-12,2016-12-27,10.0,10.0,10.0,10.0,9.0,10.0,t,moderate,f,f,7,0.86,Very Good,MoreThan4,Bad
364017,family,Subha,2012-05-11,inlondon,within an hour,f,t,t,Croydon,CR0,t,House,Entire home/apt,16,2.5,6.0,8.0,Real Bed,175.0,500.0,50.0,6,10.0,3,600,today,25,41,57,269,40,2012-11-01,2017-02-03,10.0,9.0,9.0,9.0,9.0,9.0,f,moderate,f,f,4,0.76,Good,Equals4,Bad
